,Date,Account,Debit,Credit,Amount
,18/03/2011,6165 · Entertainment,15.11,,15.11
Total 6165 · Entertainment,,,579.24,0,579.24
6170 · Equipment Rental,,,,,
Total 6170 · Equipment Rental,,,,,
6175 · Expensed Equipment,,,,,
,3/03/2011,6175 · Expensed Equipment,120,,120
Total 6175 · Expensed Equipment,,,120,0,120
6180 · Insurance,,,,,
6181 · Fire & Risks,,,,,
Total 6181 · Fire & Risks,,,,,
6185 · Professional Indemnity Insuranc,,,,,
Total 6185 · Professional Indemnity Insuranc,,,,,
6186 · Sickness and accident Insurance,,,,,
Total 6186 · Sickness and accident Insurance,,,,,
6187 · Employer's Liability,,,,,
Total 6187 · Employer's Liability,,,,,
6188 · Employee Compensation,,,,,
Total 6188 · Employee Compensation,,,,,
6180 · Insurance - Other,,,,,
Total 6180 · Insurance - Other,,,,,
Total 6180 · Insurance,,,,,
6200 · Interest Expense,,,,,
6202 · Finance Charge,,,,,
Total 6202 · Finance Charge,,,,,
6204 · Loan Interest,,,,,
Total 6204 · Loan Interest,,,,,
6208 · Mortgage,,,,,
Total 6208 · Mortgage,,,,,
6200 · Interest Expense - Other,,,,,
Total 6200 · Interest Expense - Other,,,,,
Total 6200 · Interest Expense,,,,,
6230 · Licenses and Permits,,,,,
6231 · Business Registration,,,,,
Total 6231 · Business Registration,,,,,
6230 · Licenses and Permits - Other,,,,,
Total 6230 · Licenses and Permits - Other,,,,,
Total 6230 · Licenses and Permits,,,,,
6240 · Miscellaneous,,,,,
Total 6240 · Miscellaneous,,,,,
6250 · Postage and Delivery,,,,,
,28/01/2011,6250 · Postage and Delivery,20,,20
,3/03/2011,6250 · Postage and Delivery,61.1,,61.1
Total 6250 · Postage and Delivery,,,81.1,0,81.1
6260 · Printing and Reproduction,,,,,
Total 6260 · Printing and Reproduction,,,,,
6270 · Professional Fees,,,,,
6271 · Accounting,,,,,
,28/01/2011,6271 · Accounting,827.5,,827.5
,25/02/2011,6271 · Accounting,1000,,1000
,28/03/2011,6271 · Accounting,725,,725
,28/04/2011,6271 · Accounting,700,,700
Total 6271 · Accounting,,,3252.5,0,3252.5
6272 · Legal Fees,,,,,
Total 6272 · Legal Fees,,,,,
6273 · Audit Fee,,,,,
Total 6273 · Audit Fee,,,,,
6275 · Other Professional Services,,,,,
Total 6275 · Other Professional Services,,,,,
6276 · Disbursements,,,,,
Total 6276 · Disbursements,,,,,
6270 · Professional Fees - Other,,,,,
Total 6270 · Professional Fees - Other,,,,,
Total 6270 · Professional Fees,,,3252.5,0,3252.5
6280 · Repairs,,,,,
6281 · Building Repairs,,,,,
Total 6281 · Building Repairs,,,,,
6282 · Computer Repairs,,,,,
Total 6282 · Computer Repairs,,,,,
6283 · Equipment Repairs,,,,,
,3/03/2011,6283 · Equipment Repairs,170,,170
Total 6283 · Equipment Repairs,,,170,0,170
6285 · Janitorial Exp,,,,,
Total 6285 · Janitorial Exp,,,,,
6280 · Repairs - Other,,,,,
Total 6280 · Repairs - Other,,,,,
Total 6280 · Repairs,,,170,0,170
6290 · Subscriptions,,,,,
Total 6290 · Subscriptions,,,,,
6300 · Software Expense,,,,,
,18/03/2011,6300 · Software Expense,393.1,,393.1
,13/04/2011,6300 · Software Expense,81.53,,81.53
Total 6300 · Software Expense,,,474.63,0,474.63
6310 · EDP Consumables,,,,,
,3/03/2011,6310 · EDP Consumables,69,,69
Total 6310 · EDP Consumables,,,69,0,69
6320 · Telephone,,,,,
6321 · Installation,,,,,
Total 6321 · Installation,,,,,
6322 · Internet Charges,,,,,
,16/01/2011,6322 · Internet Charges,68,,68
,28/01/2011,6322 · Internet Charges,157.5,,157.5
,25/02/2011,6322 · Internet Charges,157.5,,157.5
,18/03/2011,6322 · Internet Charges,121.98,,121.98
,28/03/2011,6322 · Internet Charges,157.5,,157.5
,13/04/2011,6322 · Internet Charges,121.98,,121.98
,28/04/2011,6322 · Internet Charges,157.5,,157.5
Total 6322 · Internet Charges,,,941.96,0,941.96
6323 · ISD Calls,,,,,
Total 6323 · ISD Calls,,,,,
6325 · Local Calls,,,,,
,21/01/2011,6325 · Local Calls,9.89,,9.89
,21/01/2011,6325 · Local Calls,3.53,,3.53
,22/02/2011,6325 · Local Calls,5.55,,5.55
,22/02/2011,6325 · Local Calls,1.69,,1.69
Total 6325 · Local Calls,,,20.66,0,20.66
6326 · Service Fee,,,,,
,21/01/2011,6326 · Service Fee,64.45,,64.45
,21/01/2011,6326 · Service Fee,138.76,,138.76
,22/02/2011,6326 · Service Fee,224.16,,224.16
Total 6326 · Service Fee,,,427.37,0,427.37
6327 · Fax,,,,,
Total 6327 · Fax,,,,,
6328 · Skype Service,,,,,
,16/01/2011,6328 · Skype Service,177.19,,177.19
Total 6328 · Skype Service,,,177.19,0,177.19
6330 · Mobile,,,,,
6331 · ISD Calls,,,,,
,21/01/2011,6331 · ISD Calls,19.53,,19.53
,22/02/2011,6331 · ISD Calls,86.36,,86.36
Total 6331 · ISD Calls,,,105.89,0,105.89
6332 · Local Calls,,,,,
,21/01/2011,6332 · Local Calls,41.18,,41.18
,22/02/2011,6332 · Local Calls,93.3,,93.3
Total 6332 · Local Calls,,,134.48,0,134.48
6335 · Service Charge,,,,,
,21/01/2011,6335 · Service Charge,33.2,,33.2
,22/02/2011,6335 · Service Charge,57.1,,57.1
Total 6335 · Service Charge,,,90.3,0,90.3
6330 · Mobile - Other,,,,,
Total 6330 · Mobile - Other,,,,,
Total 6330 · Mobile,,,330.67,0,330.67
6320 · Telephone - Other,,,,,
Total 6320 · Telephone - Other,,,,,
Total 6320 · Telephone,,,1897.85,0,1897.85
6350 · Travel and Acc.,,,,,
6351 · Accommodation,,,,,
,18/03/2011,6351 · Accommodation,52.66,,52.66
,13/04/2011,6351 · Accommodation,15.38,,15.38
Total 6351 · Accommodation,,,68.04,0,68.04
6352 · Meals,,,,,
Total 6352 · Meals,,,,,
6353 · Travel Expense,,,,,
Total 6353 · Travel Expense,,,,,
6354 · Travel Insurance,,,,,
Total 6354 · Travel Insurance,,,,,
6355 · Local Transportation,,,,,
,28/01/2011,6355 · Local Transportation,250,,250
,25/02/2011,6355 · Local Transportation,250,,250
,3/03/2011,6355 · Local Transportation,215.06,,215.06
,28/03/2011,6355 · Local Transportation,250,,250
,28/04/2011,6355 · Local Transportation,250,,250
Total 6355 · Local Transportation,,,1215.06,0,1215.06
6356 · Per Diem Allowances,,,,,
Total 6356 · Per Diem Allowances,,,,,
6357 · Airfares,,,,,
,11/02/2011,6357 · Airfares,51,,51
,12/02/2011,6357 · Airfares,99.21,,99.21
,13/04/2011,6357 · Airfares,2197.32,,2197.32
Total 6357 · Airfares,,,2347.53,0,2347.53
6350 · Travel and Acc. - Other,,,,,
Total 6350 · Travel and Acc. - Other,,,,,
Total 6350 · Travel and Acc.,,,3630.63,0,3630.63
6360 · Stamp Duties,,,,,
Total 6360 · Stamp Duties,,,,,
6390 · Utilities,,,,,
6392 · Gas and Electric,,,,,
,12/01/2011,6392 · Gas and Electric,192.19,,192.19
,11/02/2011,6392 · Gas and Electric,123.4,,123.4
,13/03/2011,6392 · Gas and Electric,149.31,,149.31
Total 6392 · Gas and Electric,,,464.9,0,464.9
6396 · Water,,,,,
,12/01/2011,6396 · Water,24.69,,24.69
,11/02/2011,6396 · Water,20.08,,20.08
,13/03/2011,6396 · Water,21.43,,21.43
Total 6396 · Water,,,66.2,0,66.2
6398 · Account Service Fees,,,,,
Total 6398 · Account Service Fees,,,,,
6390 · Utilities - Other,,,,,
Total 6390 · Utilities - Other,,,,,
Total 6390 · Utilities,,,531.1,0,531.1
6550 · Office Supplies,,,,,
6551 · Copier Service,,,,,
Total 6551 · Copier Service,,,,,
6552 · Miscellaneous,,,,,
,2/02/2011,6552 · Miscellaneous,14.12,,14.12
,3/04/2011,6552 · Miscellaneous,1.43,,1.43
,5/05/2011,6552 · Miscellaneous,25.24,,25.24
Total 6552 · Miscellaneous,,,40.79,0,40.79
6553 · Stationery,,,,,
Total 6553 · Stationery,,,,,
6550 · Office Supplies - Other,,,,,
,4/03/2011,6550 · Office Supplies,2.57,,2.57
Total 6550 · Office Supplies - Other,,,2.57,0,2.57
Total 6550 · Office Supplies,,,43.36,0,43.36
6555 · Outside Services,,,,,
Total 6555 · Outside Services,,,,,
6560 · Payroll Expenses,,,,,
Total 6560 · Payroll Expenses,,,,,
6570 · Skill Development Funds,,,,,
,3/01/2011,6570 · Skill Development Funds,24,,24
,11/02/2011,6570 · Skill Development Funds,33,,33
,7/03/2011,6570 · Skill Development Funds,24,,24
,28/03/2011,6570 · Skill Development Funds,8,,8
,28/03/2011,6570 · Skill Development Funds,7,,7
,28/03/2011,6570 · Skill Development Funds,11,,11
,28/04/2011,6570 · Skill Development Funds,8,,8
,28/04/2011,6570 · Skill Development Funds,7,,7
,28/04/2011,6570 · Skill Development Funds,11,,11
Total 6570 · Skill Development Funds,,,133,0,133
6580 · Bad Debts,,,,,
Total 6580 · Bad Debts,,,,,
66900 · Reconciliation Discrepancies,,,,,
Total 66900 · Reconciliation Discrepancies,,,,,
6998 · Expenses Suspense,,,,,
Total 6998 · Expenses Suspense,,,,,
6999 · Uncategorised Expenses,,,,,
Total 6999 · Uncategorised Expenses,,,,,
7010 · Interest Income,,,,,
Total 7010 · Interest Income,,,,,
7030 · Other Income,,,,,
,26/04/2011,7030 · Other Income,,0.97,-0.97
Total 7030 · Other Income,,,0,0.97,-0.97
7040 · MOF Resilience Package,,,,,
Total 7040 · MOF Resilience Package,,,,,
6800 · Taxes,,,,,
6830 · Corporate,,,,,
Total 6830 · Corporate,,,,,
6850 · Property,,,,,
Total 6850 · Property,,,,,
6860 · Late Lodgement Penalty,,,,,
Total 6860 · Late Lodgement Penalty,,,,,
6800 · Taxes - Other,,,,,
Total 6800 · Taxes - Other,,,,,
Total 6800 · Taxes,,,,,
6870 · Late Payment Fee,,,,,
Total 6870 · Late Payment Fee,,,,,
8010 · Other Expenses,,,,,
Total 8010 · Other Expenses,,,,,
8020 · Curr. Exch Loss/(Gain),,,,,
,1/01/2011,8020 · Curr. Exch Loss/(Gain),,4357.67,-4357.67
,31/01/2011,8020 · Curr. Exch Loss/(Gain),,70.02,-70.02
,28/02/2011,8020 · Curr. Exch Loss/(Gain),170.63,,170.63
,31/03/2011,8020 · Curr. Exch Loss/(Gain),267.77,,267.77
Total 8020 · Curr. Exch Loss/(Gain),,,438.4,4427.69,-3989.29
8030 · Unclaimed GST,,,,,
Total 8030 · Unclaimed GST,,,,,
8040 · Witholding Tax Penalties,,,,,
Total 8040 · Witholding Tax Penalties,,,,,
No accnt,,,,,
Total no accnt,,,,,
TOTAL,,,503912.88,503912.88,0
